user_id,root_id,root_name_cn,root_name_en,exposure_count,video_count,avg_watch_ratio,effective_view_rate,like_count,collect_count,comment_count,forward_count,hate_count,preference_score
1,12,美食, gourmet,1,1,1.0,1.0,0,0,0,0,0,0.65
1,7,运动, movement,1,1,0.9910714285714286,1.0,0,0,0,0,0,0.6459821428571428
2,2,音乐, music,6,6,0.4000586042802194,0.5,0,0,0,0,0,1.6801582315565924
2,7,运动, movement,3,3,0.5825307723370104,1.0,0,0,0,0,0,1.386416542654964
2,22,财经, Finance,4,4,0.2870493495975139,0.75,0,0,0,0,0,1.116688829275525
2,12,美食, gourmet,2,2,0.5742794863197158,1.0,0,0,0,0,0,0.9168515376877443
2,13,三农, agriculture,1,1,1.0,1.0,0,0,0,0,0,0.65
2,14,教育, education,1,1,1.0,1.0,0,0,0,0,0,0.65
2,6,明星娱乐, Star Entertainment,1,1,0.9710722682203824,1.0,0,0,0,0,0,0.6369825206991722
2,25,亲子, parent-child,2,2,0.4232810219224789,0.5,0,0,0,0,0,0.580952919730231
2,19,情感, emotion,4,4,0.07360477557176125,0.5,0,0,0,0,0,0.5324885960291703
2,28,资讯, information,3,3,0.017994890866102852,0.6666666666666666,0,0,0,0,0,0.42429310266923886
2,16,健康, healthy,2,2,0.22348047667839477,0.5,0,0,0,0,0,0.4011324290105553
2,21,历史, history,2,2,0.17510505461899373,0.5,0,0,0,0,0,0.3575945491570944
2,39,影视和短剧, films and short plays,3,3,0.029956432983623077,0.3333333333333333,0,0,0,0,0,0.24044118452789115
2,11,生活, life,1,1,0.2790957298353335,0.0,0,0,0,0,0,0.12559307842590006
2,15,才艺, talent,1,1,0.16853932584269662,0.0,0,0,0,0,0,0.07584269662921349
3,3,游戏,game,7,7,0.8167400520797866,0.8571428571428571,0,0,0,0,0,3.772731164051328
3,20,二次元, quadratic,3,3,1.0,1.0,0,0,0,0,0,1.9500000000000002
3,28,资讯, information,2,2,1.0,1.0,0,0,0,0,0,1.3
3,6,明星娱乐, Star Entertainment,2,2,0.5906020323847905,1.0,0,0,0,0,0,0.9315418291463115
3,39,影视和短剧, films and short plays,3,3,0.2619777292604472,0.6666666666666666,0,0,0,0,0,0.7536699345016038
3,9,搞笑, funny,4,4,0.15154857478316028,0.5,0,0,0,0,0,0.6727874346096885
3,11,生活, life,1,1,1.0,1.0,0,0,0,0,0,0.65
3,34,随手拍, random shot,1,1,1.0,1.0,0,0,0,0,0,0.65
3,12,美食, gourmet,1,1,0.27994214528997335,1.0,0,0,0,0,0,0.32597396538048806
3,10,旅游, travel,2,1,0.058004640371229696,0.0,0,0,0,0,0,0.052204176334106726
3,4,美妆, beauty,2,2,0.011727026361172704,0.0,0,0,0,0,0,0.010554323725055433
3,15,才艺, talent,1,1,0.0,0.0,0,0,0,0,0,0.0
4,5,穿搭, wear it,1,1,1.0,1.0,0,0,0,0,0,0.65
4,25,亲子, parent-child,1,1,1.0,1.0,0,0,0,0,0,0.65
4,13,三农, agriculture,1,1,0.5621727978637434,1.0,0,0,0,0,0,0.45297775903868454
4,39,影视和短剧, films and short plays,1,1,0.003898346711159797,0.0,0,0,0,0,0,0.0017542560200219087
5,39,影视和短剧, films and short plays,3,3,0.5024757563563264,0.6666666666666666,0,0,0,0,0,1.0783422710810406
5,11,生活, life,3,3,0.35355536151962114,0.6666666666666666,0,0,0,0,0,0.8772997380514885
5,12,美食, gourmet,1,1,1.0,1.0,0,0,0,0,0,0.65
5,19,情感, emotion,1,1,0.04011852157516778,1.0,0,0,0,0,0,0.2180533347088255
5,15,才艺, talent,1,1,0.03978832610512075,0.0,0,0,0,0,0,0.01790474674730434
5,9,搞笑, funny,1,1,0.025996646432610192,0.0,0,0,0,0,0,0.011698490894674587
5,16,健康, healthy,1,1,0.021961932650073207,0.0,0,0,0,0,0,0.009882869692532943
6,39,影视和短剧, films and short plays,2,2,0.05583373035358605,0.5,0,0,0,0,0,0.2502503573182274
6,25,亲子, parent-child,2,1,0.012685203978079967,0.5,0,0,0,0,0,0.211416683580272
6,20,二次元, quadratic,1,1,0.13157894736842105,0.0,0,0,0,0,0,0.05921052631578947
6,2,音乐, music,1,1,0.02041288461276758,0.0,0,0,0,0,0,0.00918579807574541
6,9,搞笑, funny,1,1,0.015174506828528072,0.0,0,0,0,0,0,0.006828528072837632
8,9,搞笑, funny,15,15,0.46084160022365395,0.8,0,0,0,0,0,5.510680801509664
8,11,生活, life,5,5,1.0,1.0,0,0,0,0,0,3.25
8,39,影视和短剧, films and short plays,8,8,0.4903968857592333,0.75,0,0,0,0,0,2.96542878873324
8,22,财经, Finance,2,2,0.6609455875157727,1.0,0,0,0,0,0,0.9948510287641954
8,28,资讯, information,2,2,0.5,0.5,0,0,0,0,0,0.65
