user_id,rank,pid,root_id,root_name_cn,score,title
1,1,98501,7,运动,0.9713000633118534,因为没对手才去拍摄了牛逼《王者摄影师》
1,2,12252,12,美食,0.9660189270693254,这样做丸子更好吃
1,3,63974,7,运动,0.9556195679971697,防身术一对二
1,4,121583,7,运动,0.953568166527866,健美比基尼
1,5,62018,7,运动,0.9528617870976818,小丑竟是我自己
1,6,49482,7,运动,0.9478729209172119,小飞棍来咯
1,7,81363,7,运动,0.9450354394991073,针穿玻璃
1,8,12616,12,美食,0.9437050136708464,厨房规矩
1,9,7303,12,美食,0.9348935230372198,过节用3000年的方法做糍粑
1,10,125263,12,美食,0.9344736981744162,儿媳妇肥头大耳的也不注重
2,1,6124,2,音乐,0.938088974321397,《忘了吧》
2,2,99008,2,音乐,0.9173518021616229,农民丰收喜洋洋
2,3,116525,2,音乐,0.9165335617789093,《万物起舞》翻唱:汤小媛儿
2,4,3620,2,音乐,0.9106188592054766,大家好今天我为大家带来一首非常好听
2,5,12621,2,音乐,0.9087907224917295,音你而来
2,6,98702,2,音乐,0.9066198667298351,《万物起舞》
2,7,91414,2,音乐,0.9054507805184724,大孙子考取国防科大93岁老鼓王终于为自己击一次鼓
2,8,61155,2,音乐,0.9047058315697857,我也是
2,9,67868,2,音乐,0.9015213180538011,《包公断后》演唱:丫蛋王小利
2,10,128945,2,音乐,0.9015016204991191,《羊了个》
3,1,35407,3,游戏,0.9221677260772174,面具之下
3,2,99002,3,游戏,0.9102674756911694,这小黄鸭怎么那么像我男朋友
3,3,71241,3,游戏,0.905794847928655,第434期
3,4,100161,3,游戏,0.9053260109702649,三哥制作水晶手链
3,5,98592,3,游戏,0.9051139942277627,萌新
3,6,71360,3,游戏,0.9047697115136886,纵享丝滑
3,7,122716,3,游戏,0.9040818238813111,注/意/看/细/节
3,8,98424,3,游戏,0.9013536726134257,拷打单排主播
3,9,123552,3,游戏,0.9011110114071584,《羊了个羊》
3,10,65558,3,游戏,0.8958710915474467,三国哈哈哈三国哈哈哈
4,1,71161,25,亲子,0.9744081658694392,孩子突然爬到床头爸爸的反应暖心了
4,2,99402,25,亲子,0.9391727990042197,小趴菜
4,3,46889,25,亲子,0.9297182821022782,一个温暖阳光的小伙子对姐姐不离不弃
4,4,39780,25,亲子,0.9270973986638416,"龙凤胎的日常""哥哥""一巴掌过去妹妹就不哭了"
